/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/BT/module.luau	27	module_export			return FAILURE			return FAILURE
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/BT/module.luau	44	module_export	return bt	return bt
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/client/spawn_app.luau	6	module_export	local destroy_fn = {}	local destroy_fn = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/client/spawn_app.luau	29	module_export			return destroy			return destroy
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/init.luau	89	module_export	            return instance	            return instance
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/init.luau	121	module_export	return vide	return vide
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/client/apps/registry/widget.luau	420	module_export							local t = {}							local t = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/client/apps/registry/widget.luau	425	module_export							return t							return t
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/modules/average.luau	11	module_export	return average	return average
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/client/apps/entity/init.luau	81	module_export	return overview_entity	return overview_entity
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/maps.luau	33	module_export	    local input_cache = {} :: Map<K, VI>	    local input_cache = {} :: Map<K, VI>
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/maps.luau	34	module_export	    local output_cache = {} :: Map<K, VO>	    local output_cache = {} :: Map<K, VO>
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/maps.luau	35	module_export	    local input_nodes = {} :: Map<K, SourceNode<VI>>	    local input_nodes = {} :: Map<K, SourceNode<VI>>
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/maps.luau	36	module_export	    local remove_queue = {} :: { K }	    local remove_queue = {} :: { K }
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/maps.luau	37	module_export	    local scopes = {} :: Map<K, Node<unknown>>	    local scopes = {} :: Map<K, Node<unknown>>
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/maps.luau	105	module_export	        return output_array	        return output_array
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Jabby/vide/maps.luau	124	module_export	    local cur_input_cache_up = {} :: Map<VI, K>	    local cur_input_cache_up = {} :: Map<VI, K>
